device_category,duration,bytes,bytes_A,bytes_B,bytes_A_B_ratio,is_ssl,is_http,is_g_http,is_cdn_http,is_ad_http,suffix_is_unresolved,domain_is_unresolved,tcp_analysis_retransmission,tcp_analysis_lost_segment,ssl_count_certificates,ssl_count_transactions
baby_monitor,1.9156,14698,7814,6884,1.1350957096026,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.002,14698,7814,6884,1.1350957096026,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.1833,14762,7814,6948,1.12464002236039,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.1521,14762,7814,6948,1.12464002236039,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.2422,14862,7994,6868,1.16394857834179,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.6469,14818,7934,6884,1.15252743281124,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,0.2437,208,74,134,0.552234684815785,0,0,0,0,0,0,0,0,0,0,0
baby_monitor,1.9104,14714,7814,6900,1.13246360399078,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.0504,14894,7994,6900,1.1585505567318,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,1.9449,14730,7814,6916,1.12984367700352,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.2741,14714,7814,6900,1.13246360399078,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,1.9103,16415,14133,2282,6.19324881978579,1,0,0,0,0,0,0,0,0,4,1
baby_monitor,2.1768,14762,7814,6948,1.12464002236039,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,1.9981,14698,7814,6884,1.1350957096026,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.0067,14834,7934,6900,1.14985490581813,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,1.8361,16394,14112,2282,6.18404636983069,1,0,0,0,0,0,0,0,0,4,1
baby_monitor,2.1318,14714,7814,6900,1.13246360399078,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.0434,14810,7814,6996,1.11692379689483,1,0,0,0,0,0,0,2,0,2,1
baby_monitor,2.232,14730,7814,6916,1.12984367700352,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,0.293,208,74,134,0.552234684815785,0,0,0,0,0,0,0,0,0,0,0
baby_monitor,1.9348,14714,7814,6900,1.13246360399078,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,1.9671,14794,7814,6980,1.11948408030314,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,1.799,16378,14096,2282,6.1770349793887,1,0,0,0,0,0,0,0,0,4,1
baby_monitor,2.7265,16415,14133,2282,6.19324881978579,1,0,0,0,0,0,0,0,0,4,1
baby_monitor,1.9932,14746,7814,6932,1.12723584431104,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.1141,14778,7814,6964,1.12205612836644,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.2029,9098,7048,2050,3.43804710339166,1,0,0,0,0,0,0,0,0,4,1
baby_monitor,2.3657,14746,7814,6932,1.12723584431104,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.0253,14730,7814,6916,1.12984367700352,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,0.234,208,74,134,0.552234684815785,0,0,0,0,0,0,0,0,0,0,0
baby_monitor,2.3431,14698,7814,6884,1.1350957096026,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,0.249,208,74,134,0.552234684815785,0,0,0,0,0,0,0,0,0,0,0
baby_monitor,2.0858,14834,7934,6900,1.14985490581813,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.1679,14666,7814,6852,1.14039679795727,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,1.922,14666,7814,6852,1.14039679795727,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,1.9472,14778,7814,6964,1.12205612836644,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.0935,14682,7814,6868,1.13774007895456,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,4.3125,14982,8054,6928,1.16252870055879,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,1.9884,14746,7814,6932,1.12723584431104,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.1234,14666,7814,6852,1.14039679795727,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,0.2301,208,74,134,0.552234684815785,0,0,0,0,0,0,0,0,0,0,0
baby_monitor,2.0874,14794,7814,6980,1.11948408030314,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,1.8589,16378,14096,2282,6.1770349793887,1,0,0,0,0,0,0,0,0,4,1
baby_monitor,1.9235,16415,14133,2282,6.19324881978579,1,0,0,0,0,0,0,0,0,4,1
baby_monitor,2.048,14746,7814,6932,1.12723584431104,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.0233,14650,7814,6836,1.14306595332564,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.1896,14698,7814,6884,1.1350957096026,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.0952,14814,7994,6820,1.17214059059522,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,0.2507,208,74,134,0.552234684815785,0,0,0,0,0,0,0,0,0,0,0
baby_monitor,2.0081,14746,7814,6932,1.12723584431104,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.1449,14878,7994,6884,1.16124329441556,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,5.1152,14730,7814,6916,1.12984367700352,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.1124,14698,7814,6884,1.1350957096026,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,0.2586,208,74,134,0.552234684815785,0,0,0,0,0,0,0,0,0,0,0
baby_monitor,2.0251,14910,7994,6916,1.15587027821425,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.2289,14958,7994,6964,1.14790333889958,1,0,0,0,0,0,0,2,0,2,1
baby_monitor,2.0732,16367,14085,2282,6.17221464845984,1,0,0,0,0,0,0,0,0,4,1
baby_monitor,0.2472,208,74,134,0.552234684815785,0,0,0,0,0,0,0,0,0,0,0
baby_monitor,2.0954,14746,7814,6932,1.12723584431104,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.1393,14698,7814,6884,1.1350957096026,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.3567,14958,7994,6964,1.14790333889958,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.2399,14714,7814,6900,1.13246360399078,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.3472,14714,7814,6900,1.13246360399078,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.0811,14714,7814,6900,1.13246360399078,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,1.8575,16584,14236,2348,6.06302978576244,1,0,0,0,0,0,0,0,0,4,1
baby_monitor,2.2942,14698,7814,6884,1.1350957096026,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,1.9161,14714,7814,6900,1.13246360399078,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.1532,14714,7814,6900,1.13246360399078,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.6027,14882,7934,6948,1.14191117704214,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.0204,14746,7814,6932,1.12723584431104,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.1974,14730,7814,6916,1.12984367700352,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.0906,14762,7814,6948,1.12464002236039,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.025,14730,7814,6916,1.12984367700352,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.0013,14730,7814,6916,1.12984367700352,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,0.2902,208,74,134,0.552234684815785,0,0,0,0,0,0,0,0,0,0,0
baby_monitor,2.0293,14650,7814,6836,1.14306595332564,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,0.256,208,74,134,0.552234684815785,0,0,0,0,0,0,0,0,0,0,0
baby_monitor,2.2104,14698,7814,6884,1.1350957096026,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,1.7775,16328,14046,2282,6.1551243842575,1,0,0,0,0,0,0,0,0,4,1
baby_monitor,1.9166,14634,7814,6820,1.14574763258832,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.1422,15462,8354,7108,1.17529527640753,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,1.8936,14794,7814,6980,1.11948408030314,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.1108,14762,7814,6948,1.12464002236039,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.9027,14698,7814,6884,1.1350957096026,1,0,0,0,0,0,0,2,0,2,1
baby_monitor,1.9426,14730,7814,6916,1.12984367700352,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.1722,14818,7934,6884,1.15252743281124,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.1192,14746,7814,6932,1.12723584431104,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.0799,14682,7814,6868,1.13774007895456,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.0115,14746,7814,6932,1.12723584431104,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.1461,18350,15690,2660,5.89849402312255,1,0,0,0,0,0,0,1,1,4,1
baby_monitor,0.2286,208,74,134,0.552234684815785,0,0,0,0,0,0,0,0,0,0,0
baby_monitor,2.1576,14666,7814,6852,1.14039679795727,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,0.2708,208,74,134,0.552234684815785,0,0,0,0,0,0,0,0,0,0,0
baby_monitor,2.589,14802,7934,6868,1.15521241187938,1,0,0,0,0,0,0,3,0,2,1
baby_monitor,2.1465,16328,14046,2282,6.1551243842575,1,0,0,0,0,0,0,0,0,4,1
baby_monitor,0.2484,208,74,134,0.552234684815785,0,0,0,0,0,0,0,0,0,0,0
baby_monitor,2.1508,14826,7814,7012,1.11437519760764,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,1.9629,14650,7814,6836,1.14306595332564,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,2.1747,14730,7814,6916,1.12984367700352,1,0,0,0,0,0,0,1,0,2,1
baby_monitor,1.8795,16312,14030,2282,6.14811299381551,1,0,0,0,0,0,0,0,0,4,1
lights,1.474,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.5239,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.449,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.4986,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4988,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4995,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4988,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4991,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.4972,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.4954,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4964,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4991,240,0,240,0.0,0,0,0,0,0,0,0,9,0,0,0
lights,1.4493,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.474,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.498,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4009,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.4705,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4488,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.499,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.474,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4987,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4977,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4969,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.4991,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.5138,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4634,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.499,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.4991,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.4747,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4986,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.5003,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4991,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.5009,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.507,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4983,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4988,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4987,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4738,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.498,240,0,240,0.0,0,0,0,0,0,0,0,9,0,0,0
lights,1.498,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.5188,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.499,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.4987,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4765,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.499,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.5047,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.499,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.5005,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4996,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.499,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4732,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.499,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4662,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.3988,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4985,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.499,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.5112,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4991,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4713,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4988,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.5239,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4963,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.4992,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,9,0,0,0
lights,1.4243,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4954,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4991,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.499,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.5454,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4973,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4876,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4988,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4989,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.499,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4949,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.5078,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4993,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4987,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4991,240,0,240,0.0,0,0,0,0,0,0,0,6,0,0,0
lights,1.4971,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.5241,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4859,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4987,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
lights,1.4991,240,0,240,0.0,0,0,0,0,0,0,0,3,0,0,0
motion_sensor,120.9956,2399,725,1674,0.433094125989172,1,0,0,0,0,0,0,9,1,0,1
motion_sensor,0.511,1309,593,716,0.828211133783333,0,1,0,0,0,0,0,0,0,0,0
motion_sensor,2.0023,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,17,14,0,0
motion_sensor,0.6453,6367,4800,1567,3.06317609242113,1,0,0,0,0,0,0,0,0,3,1
motion_sensor,1.6283,1728,596,1132,0.526501301677295,0,1,0,0,0,0,0,2,0,0,0
motion_sensor,1.9469,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,3,3,0,0
motion_sensor,1.8036,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,1,1,0,0
motion_sensor,13883.7199,352200,176100,176100,0.999999994321408,0,0,0,0,0,0,0,0,1,0,0
motion_sensor,2.0566,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,5,5,0,0
motion_sensor,0.6781,1428,476,952,0.499999474790468,0,1,0,0,0,0,0,0,0,0,0
motion_sensor,1.592,2439,1139,1300,0.876153172189868,1,0,0,0,0,0,0,1,0,0,1
motion_sensor,58344.3257,1482360,741180,741180,0.9999999986508,0,0,0,0,0,0,0,0,1,0,0
motion_sensor,394.405,11337,5525,5812,0.950619244559662,1,0,0,0,0,0,0,1,1,0,1
motion_sensor,20.9655,1979,785,1194,0.657453385717432,1,0,0,0,0,0,0,0,1,0,1
motion_sensor,1.2515,1801,953,848,1.12381942945822,0,1,0,0,0,1,1,9,7,0,0
motion_sensor,0.0332,120,60,60,0.999983333611106,0,0,0,0,0,0,0,0,0,0,0
motion_sensor,1.7177,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,1,1,0,0
motion_sensor,2.0011,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,9,7,0,0
motion_sensor,1.6406,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,1,1,0,0
motion_sensor,1.7311,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,5,5,0,0
motion_sensor,1.7574,1442,654,788,0.829948185344943,0,1,0,0,0,1,1,1,1,0,0
motion_sensor,1.1603,1428,476,952,0.499999474790468,0,1,0,0,0,0,0,0,0,0,0
motion_sensor,1.706,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,5,4,0,0
motion_sensor,1.6329,1668,536,1132,0.473497814931259,0,1,0,0,0,0,0,1,0,0,0
motion_sensor,2.0572,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,1,1,0,0
motion_sensor,1.7705,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,1,1,0,0
motion_sensor,1.7464,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,4,4,0,0
motion_sensor,1.6069,1428,476,952,0.499999474790468,0,1,0,0,0,0,0,0,0,0,0
motion_sensor,0.9257,1428,476,952,0.499999474790468,0,1,0,0,0,0,0,0,0,0,0
motion_sensor,1.7243,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,2,2,0,0
motion_sensor,1.7018,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,1,1,0,0
motion_sensor,1.1403,1681,893,788,1.13324729283338,0,1,0,0,0,1,1,4,4,0,0
motion_sensor,1.9179,1382,654,728,0.898350414353826,0,1,0,0,0,1,1,1,1,0,0
motion_sensor,1767.9848,44580,22260,22320,0.997311783274562,0,0,0,0,0,0,0,0,1,0,0
motion_sensor,1.5559,1482,931,551,1.68965210589454,0,1,0,0,0,0,0,0,0,0,0
